"time","current"
0,0.48996
0.5,0.48866
1,0.4911
1.5,0.48957
2,0.49203
2.5,0.49491
3,0.49532
3.5,0.49862
4,0.49796
4.5,0.49785
5,0.50026
5.5,0.50042
6,0.50149
6.5,0.5009
7,0.49829
7.5,0.50495
8,0.50266
8.5,0.50851
9,0.50554
9.5,0.50596
10,0.50491
10.5,0.50507
11,0.50802
11.5,0.50665
12,0.50838
12.5,0.50993
13,0.5102
13.5,0.51011
14,0.50976
14.5,0.50873
15,0.51101
15.5,0.51514
16,0.51163
16.5,0.5131
17,0.51363
17.5,0.51342
18,0.5145
18.5,0.51434
19,0.5138
19.5,0.51394
20,0.51526
20.5,0.518
21,0.51682
21.5,0.51798
22,0.51549
22.5,0.51772
23,0.51899
23.5,0.51789
24,0.51973
24.5,0.51922
25,0.51822
25.5,0.5202
26,0.51755
26.5,0.52037
27,0.52097
27.5,0.52097
28,0.51864
28.5,0.51971
29,0.52227
29.5,0.52062
30,0.52162
30.5,0.5193
31,0.52176
31.5,0.52377
32,0.52377
32.5,0.52301
33,0.52244
33.5,0.52479
34,0.52638
34.5,0.52683
35,0.52492
35.5,0.52848
36,0.52466
36.5,0.52688
37,0.52425
37.5,0.5273
38,0.52919
38.5,0.5254
39,0.5279
39.5,0.52989
40,0.52773
40.5,0.53129
41,0.53225
41.5,0.53239
42,0.5303
42.5,0.53079
43,0.533
43.5,0.53091
44,0.53435
44.5,0.53392
45,0.53399
45.5,0.53475
46,0.53128
46.5,0.53721
47,0.53312
47.5,0.53766
48,0.53411
48.5,0.53625
49,0.53531
49.5,0.53954
50,0.53448
50.5,0.53454
51,0.5343
51.5,0.53728
52,0.5385
52.5,0.53653
53,0.53583
53.5,0.53479
54,0.53796
54.5,0.53688
55,0.54009
55.5,0.53987
56,0.53861
56.5,0.53938
57,0.53925
57.5,0.5436
58,0.54257
58.5,0.53908
59,0.54118
59.5,0.54016
60,0.53903
60.5,0.54208
61,0.53791
61.5,0.54195
62,0.54166
62.5,0.54044
63,0.54342
63.5,0.54484
64,0.54694
64.5,0.54452
65,0.54648
65.5,0.54439
66,0.54419
66.5,0.54524
67,0.54576
67.5,0.54833
68,0.54626
68.5,0.54658
69,0.55063
69.5,0.55007
70,0.5473
70.5,0.54824
71,0.54746
71.5,0.54875
72,0.5463
72.5,0.54857
73,0.5521
73.5,0.54648
74,0.55245
74.5,0.55021
75,0.54929
75.5,0.54694
76,0.55073
76.5,0.55195
77,0.55301
77.5,0.55245
78,0.55043
78.5,0.55101
79,0.55149
79.5,0.54651
80,0.54876
80.5,0.55048
81,0.55004
81.5,0.55157
82,0.55089
82.5,0.55261
83,0.55321
83.5,0.55254
84,0.55056
84.5,0.55465
85,0.55096
85.5,0.55385
86,0.5552
86.5,0.54858
87,0.55307
87.5,0.55346
88,0.55815
88.5,0.55274
89,0.5539
89.5,0.55144
90,0.55549
90.5,0.55363
91,0.55082
91.5,0.55335
92,0.55494
92.5,0.55519
93,0.55586
93.5,0.55566
94,0.55694
94.5,0.5579
95,0.5563
95.5,0.55905
96,0.55605
96.5,0.5564
97,0.55814
97.5,0.55846
98,0.5591
